课程名,学分,主讲教师,上课时间,开课院系,掉课率
面向城乡协调的乡村规划,1,刘健,3-2(前八周),建筑学院,15.84
建筑与城市美学,1,王辉,2-6(后八周),建筑学院,49.98
极地建筑,1,庄惟敏,2-2(后八周),建筑学院,16.05
城市更新理论与实践认知,1,唐燕,4-6(后八周),建筑学院,12.95
绿色建筑：从理念到实践,2,李晓锋,2-6(全周),建筑学院,10.7
人体热舒适前沿,1,曹彬,1-6(前八周),建筑学院,36.95
风景之道：自然·设计·人,2,郑晓笛,1-4(后八周);1-3(后八周),建筑学院,39.08
以设计营共乐：解读与构想城市公共场所,2,张烨,2-6(全周),建筑学院,11.28
形式范式与建筑想象力,1,范路,1-6(后八周),建筑学院,49.9
中国技术思想史,2,刘克明,2-6(全周),建筑学院,11.59
结构美学,2,董聪,1-6(全周),土木系,13.81
结构中的技术和艺术,1,石永久,1-6(后八周),土木系,32.84
现代土木工程材料与工程应用,2,王强,4-6(全周),土木系,14.67
智能搭建积木的原理与体验,2,冯鹏,1-6(全周),土木系,35.78
水资源与水危机,2,杨大文,3-6(前八周),水利系,45.77
宝玉石鉴赏,2,刘晓丽,2-6(全周),水利系,46.29
水利大数据原理与实践,2,李铁键,5-4(全周),水利系,14.1
全球水发展,1,张硕,1-6(前八周),水利系,10.61
石文化和艺术,2,温庆博,4-6(全周),水利系,15.03
环境保护与可持续发展,1,钱易,4-6(前八周),环境学院,14.75
基础地质学,3,王洪涛,3-6(全周),环境学院,10.49
环境与化学,1,邓述波,4-6(前八周),环境学院,10.78
土壤与环境安全,1,张芳,1-6(前八周),环境学院,16.95
环境危机与生态重建,1,王慧,2-6(前八周),环境学院,16.56
生态文明十五讲,2,贺克斌,1-3(全周),环境学院,19.74
走进新能源与环境催化,1,李俊华,1-6(前八周),环境学院,12.69
碳中和与减污降碳前沿讲座,2,贺克斌,3-6(全周),环境学院,10.28
碳核算方法,1,田金平,1-6(前八周),环境学院,16.74
机器人工程基础及应用,2,康珊珊,5-4(前八周);5-3(前八周),机械系,12.04
生物材料工程与器件,2,熊卓,3-6(全周),机械系,18.75
表面工程基础,2,邵天敏,3-6(1-12周),机械系,13.06
工程生物学基础,2,孙伟,4-4(全周),机械系,15.49
机械的奥秘,2,赵乾,2-6(全周),机械系,19.07
机器人认知与实践,2,谢福贵,1-6(全周),机械系,13.53
机器人认知与实践,2,赵慧婵,2-6(全周),机械系,36.17
机器人认知与实践,2,刘辛军,3-6(全周),机械系,13.99
误差理论与数据处理,2,尉昊赟,2-6(全周),精仪系,19.71
宇航技术的发展与微小卫星,1,赵开春,1-6(前八周),精仪系,15.61
嵌入式系统设计与实践,2,周斌,2-1(全周),精仪系,17.94
激光的奥秘,1,付星,2-6(前八周),精仪系,15.41
产品创造系统工程学,2,ZHAOFUQUAN,2-4(单周);2-3(单周),车辆学院,18.48
赛车工程(1),3,田光宇,3-6(全周),车辆学院,12.87
车用能源概论,2,郝瀚,5-2(1-11周),车辆学院,11.22
汽车文化,1,马骁,2-6(前八周),车辆学院,42.44
新生导引课,1,聂冰冰,2-6(后八周),车辆学院,17.86
工业生产管理概论,2,梁正霖,2-6(全周),工业工程系,16.89
统计学引论：数据分析的科学与艺术,3,邓柯,2-6(全周),统计系,16.7
思考的方法,2,李乐飞,1-3(全周),工业工程系,49.97
虚拟仪器基础,2,郝丽,2-6(全周),电机系,17.14
可编程控制器及变频器系统,2,于庆广,2-4(全周),电机系,12.87
当代自然科学与哲学的对话,2,罗海云,1-6(全周),电机系,17.62
光的技术：提升人类生活,2,张巍,4-6(全周),电子系,14.9
计算机辅助设计技术基础,3,孙延奎,4-6(全周),计算机系,14.28
人工智能导论,2,李建民,3-6(全周),计算机系,82.52
计算机组成与系统结构,4,陆游游,2-6(全周),计算机系,19.62
程序设计艺术和实践,3,邬晓钧,(全周),计算机系,17.65
计算机系统研讨,1,陈文光,1-6(前八周),计算机系,10.35
计算思维,2,韩文弢,2-6(全周),计算机系,30.84
计算思维,2,马昱春,3-3(全周),计算机系,30.64
迈向通用的人工智能,1,刘知远,(全周),计算机系,11.74
漫话滤波,2,周彤,3-6(全周),自动化系,36.45
企业信息化概论,1,范玉顺,1-3(前八周),自动化系,10.17
视觉信息获取与显示,1,戴琼海,1-1(前八周),自动化系,46.66
智能机器人初探,1,陈章,1-3(前八周),自动化系,39.62
走近人工智能,2,张长水,3-6(全周),自动化系,80.6
量子信息处理的超导实现,1,陈炜,3-6(前八周),集成电路学院,19.75
航天中的奇思妙想,1,李俊峰,2-6(前八周),航院,12.87
航天概论,2,王兆魁,1-6(全周),航院,12.66
Matlab与科学计算,1,王沫然,3-1(前八周),航院,37.77
力学中的创意设计,2,高云峰,2-6(全周),航院,19.85
科学的运动——从肌肉组织到细胞的力学,2,杨春,2-6(全周),航院,17.82
飞行基础理论与实践,2,张超,2-6(全周),航院,37.33
三维可视化技术基础及应用,2,肖永顺,2-6(全周),工物系,19.75
高能物理导论,2,王喆,1-4(全周),工物系,17.68
核心理学,2,俞冀阳,2-6(全周),工物系,47.57
核能物理与超算,1,王侃,2-6(前八周),工物系,12.22
核仪器原理,4,李亮,3-3(全周);1-2(全周),工物系,31.37
核仪器原理,4,邓智,3-3(全周);1-2(全周),工物系,16.06
射线源导论,2,颜立新,2-4(全周),工物系,14.5
射线源导论,2,李任恺,2-4(全周),工物系,10.27
分子设计与化学工程,1,刘铮,1-6(前八周),化工系,13.07
纳米能源,3,张强,2-6(全周),化工系,13.36
能源材料,3,张强,3-6(全周),化工系,13.37
人工智能与流程工业导论,2,王笑楠,4-6(全周),化工系,89.76
在实验中认识材料,1,赵玉珍,(前八周),材料学院,13.94
增材制造-3D打印技术原理与实践,1,刘蓉翾,(后八周),材料学院,18.12
神奇的氧化物,1,沈洋,1-6(前八周),材料学院,31.48
数学模型,3,谢金星,2-6(全周),数学教学中心,15.04
科学与工程计算基础,4,黄忠亿,3-1(全周);1-3(全周),数学教学中心,16.01
现代数学前沿概览,2,周坚,1-1(全周),数学系,17.01
天文学导论,3,张有宏,2-6(全周),物理系,14.33
化学与社会,2,李景虹,2-6(全周),化学系,10.89
磷与生命化学,1,李艳梅,1-1(前八周),化学系,12.78
现代红外光谱学,2,周群,2-6(全周),化学系,14.45
生态学,2,陈功,2-1(全周),生命学院,42.17
生命科学简史,2,杨扬,3-1(全周),生命学院,35.57
花卉鉴赏,2,王菁兰,1-1(全周),生命学院,39.76
花卉鉴赏,2,王菁兰,2-1(全周),生命学院,32.72
大学生物学实验,1,王洪钟,(3-13周),生命学院,17.12
